week,date,venue,pair,abs_path,size_bytes,sha256,source_format
W-13,20250709,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250709/E-COINBASE/IDDI_584179f1__BTC-USD.csv.gz,32502380,8318932b45142b34b0a138193bce043f38fd8a8736558de68e140cc947a8a208,v7
W-13,20250707,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250707/E-COINBASE/IDDI_6bc99d65__BTC-USD.csv.gz,25820939,46e2c5010cc23a1075d4c11f837ef5f0d679a57dbdc96f4a4299e07911a47356,v7
W-13,20250708,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250708/E-COINBASE/IDDI_2cb45db2__BTC-USD.csv.gz,23786134,66f568408e3dcc09d27c01af274b7157bad982295e39b9ad357a5052ab700287,v7
W-13,20250712,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250712/E-COINBASE/IDDI_4cdc0510__BTC-USD.csv.gz,21806601,0cdb825cb8386c29cee65d3ea88c8e67c8b2baefb23f5eb04b7f6362e877e709,v7
W-13,20250713,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250713/E-COINBASE/IDDI_4d5bce95__BTC-USD.csv.gz,24890509,2bbf97fe4e1f042b972c1349d0ce62f9e2c5ac0e8aef016a056bb362306f2296,v7
W-13,20250711,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250711/E-COINBASE/IDDI_e7faa80c__BTC-USD.csv.gz,47573558,bd7a9db52ef4bb4d0e081bbd8f346d42c40ef164e0c250b3587ceaf8fed7554f,v7
W-13,20250710,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w7/20250710/E-COINBASE/IDDI_b8e116bb__BTC-USD.csv.gz,41308286,eb438f7704971d876f642a82ed679041a85efbb92c2bd8982b8b387f16ba4d91,v7
W-12,20250715,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BYBITSPOT/IDDI_5542a945__BTCUSDT.csv.gz,230666,c91df91961db2e4fe704b5da673c0516e567ec477165b1064089225dd1b884ef,v7
W-12,20250715,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BINANCE/IDDI_99764db3__BTCUSDT.csv.gz,146646265,6b939fd60c99f5240148a405315edb6a3b2e6a8af27b23b0e3b1144637f46872,v7
W-12,20250715,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250715/E-BITGET/IDDI_15d3bc4f__BTCUSDT.csv.gz,8820767,a7879bd3b537221cb6782d9dd729b94d554442f0c46e74693fde89c5b0af2aeb,v7
W-12,20250714,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BYBITSPOT/IDDI_ca4f8f42__BTCUSDT.csv.gz,358844,80825c4826a67095acaf59ccced1bbbf34773c956eb87c23c5ff0903951acec3,v7
W-12,20250714,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BINANCE/IDDI_cc043262__BTCUSDT.csv.gz,155244332,f85192acc5f1f608257e2858fb7a5df4f2b6850748315a511b6f482855e5b2a4,v7
W-12,20250714,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250714/E-BITGET/IDDI_43fb11bf__BTCUSDT.csv.gz,7762280,4be794da65a6c7bd1ff53ba6f6a2b401304c0869d94a6b93f631ff1e94716bb4,v7
W-12,20250716,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BYBITSPOT/IDDI_de61a508__BTCUSDT.csv.gz,424591,a87144a38545aaaa1b00c63f5ba48081d577eaa7867307536acdcd35279d8eff,v7
W-12,20250716,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BINANCE/IDDI_a252e314__BTCUSDT.csv.gz,94248820,9209bb89e594ccc40bf23a8f458a25807c0418b47e7076964e1003fb230acfdf,v7
W-12,20250716,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BITGET/IDDI_6694bf1e__BTCUSDT.csv.gz,6172999,c58651702d28d22d5256146eba92402974905aa75edb09e21fb1588438decb0e,v7
W-12,20250720,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250720/E-BYBITSPOT/IDDI_ccf48bc2__BTCUSDT.csv.gz,124526,fdf19ed4c9ace72fcf4327ca34f299842742361e60265ac543ef14c522233d0d,v7
