date,venue,pair,key,abs_path,rel_path,size_bytes,sha256
20250716,COINBASE,BTC-USD,T-TRADES/D-20250716/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-COINBASE/IDDI_c71a30f9__BTC_USD.csv.gz,data_v7/raw/coinapi_jul_w6/20250716/E-COINBASE/IDDI_c71a30f9__BTC_USD.csv.gz,36964767,6c6f2acab3146f424f533334c2b1cc10a5109181671d9322f20c6a1deac43f22
20250716,BINANCE,BTCUSDT,T-TRADES/D-20250716/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BINANCE/IDDI_a252e314__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250716/E-BINANCE/IDDI_a252e314__BTCUSDT.csv.gz,94248820,9209bb89e594ccc40bf23a8f458a25807c0418b47e7076964e1003fb230acfdf
20250716,BYBITSPOT,BTCUSDT,T-TRADES/D-20250716/E-BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BYBITSPOT/IDDI_de61a508__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250716/E-BYBITSPOT/IDDI_de61a508__BTCUSDT.csv.gz,424591,a87144a38545aaaa1b00c63f5ba48081d577eaa7867307536acdcd35279d8eff
20250716,BITGET,BTCUSDT,T-TRADES/D-20250716/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250716/E-BITGET/IDDI_6694bf1e__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250716/E-BITGET/IDDI_6694bf1e__BTCUSDT.csv.gz,6172999,c58651702d28d22d5256146eba92402974905aa75edb09e21fb1588438decb0e
20250717,COINBASE,BTC-USD,T-TRADES/D-20250717/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-COINBASE/IDDI_7b283ec5__BTC_USD.csv.gz,data_v7/raw/coinapi_jul_w6/20250717/E-COINBASE/IDDI_7b283ec5__BTC_USD.csv.gz,37728773,a05882c64c4f830b8a4b1da99af6bba85604c08b042bb1136acd20fd872fc5d4
20250717,BINANCE,BTCUSDT,T-TRADES/D-20250717/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BINANCE/IDDI_71f4a849__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250717/E-BINANCE/IDDI_71f4a849__BTCUSDT.csv.gz,91528325,f4b6d260e87c82c7a65d6142fafd43c193b8d8eba3546478e3ad8d4fc4c15324
20250717,BYBITSPOT,BTCUSDT,T-TRADES/D-20250717/E-BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BYBITSPOT/IDDI_3ef39ea3__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250717/E-BYBITSPOT/IDDI_3ef39ea3__BTCUSDT.csv.gz,230455,3c40623af0fe6ca028209aa4a93a1e23398747bf9f49e5c68da428235921861a
20250717,BITGET,BTCUSDT,T-TRADES/D-20250717/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250717/E-BITGET/IDDI_7eba2b5e__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250717/E-BITGET/IDDI_7eba2b5e__BTCUSDT.csv.gz,7006905,32a36f65b1b05ec1bb43c56efbaf913f72ed5a5c2178e2adc59130c0b7bb731c
20250718,COINBASE,BTC-USD,T-TRADES/D-20250718/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-COINBASE/IDDI_6b03ff85__BTC_USD.csv.gz,data_v7/raw/coinapi_jul_w6/20250718/E-COINBASE/IDDI_6b03ff85__BTC_USD.csv.gz,44741854,dea326670f309adc6ed003bb556e899c11584cbf38dc0c9bca5913e277c69675
20250718,BINANCE,BTCUSDT,T-TRADES/D-20250718/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BINANCE/IDDI_baec4221__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250718/E-BINANCE/IDDI_baec4221__BTCUSDT.csv.gz,108505677,ed751cc33ed2a005181f41dc5ad6202bfee54b0a0cf1c921e827e8281c5cfdaf
20250718,BYBITSPOT,BTCUSDT,T-TRADES/D-20250718/E-BYBITSPOT/IDDI-39450946+SC-BYBITSPOT_SPOT_PUMPBTC_USDT+S-PUMPBTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BYBITSPOT/IDDI_612124ea__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250718/E-BYBITSPOT/IDDI_612124ea__BTCUSDT.csv.gz,125870,2a5aaee9d1b6a7d645fffe9d20d7faa783c9002439c36a0616c0257f52dd17d2
20250718,BITGET,BTCUSDT,T-TRADES/D-20250718/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w6/20250718/E-BITGET/IDDI_9b70324d__BTCUSDT.csv.gz,data_v7/raw/coinapi_jul_w6/20250718/E-BITGET/IDDI_9b70324d__BTCUSDT.csv.gz,8100861,e99650b51783e2cbdd4dccd5e724d8bdcb51d71adf541e51644a8451e7409cd5
