date,venue,pair,file_path,size_bytes,gzip_valid,sha256,status
20250721,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-COINBASE/IDDI_56019e3b__BTC_USD.csv.gz,32046198,True,53d6865054f2119972e93caab7648d5f9fdc58b297e47242a272b450cc918dd9,downloaded
20250721,BINANCE,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BINANCE/IDDI_1c516390__BTCUSDT.csv.gz,96986133,True,5414779fcfd8253dee0f5573db28a88ab61944ec3cec27503344f48916aefe86,downloaded
20250721,BYBITSPOT,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BYBITSPOT/IDDI_e33424bc__BTCUSDT.csv.gz,168367,True,282640abe9119c7d547eff1c9dda390855c088b5f3786055529820e55bb92a87,downloaded
20250721,BITGET,BTCUSDT,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250721/E-BITGET/IDDI_f84f7767__BTCUSDT.csv.gz,9092891,True,17292d1d100dd11ffede95e46c59903a77ecc3f2ce31799654261c2ac985ae07,downloaded
20250722,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250722/E-COINBASE/IDDI_24d70016__BTC_USD.csv.gz,33423988,True,3cd955930dc3af70408508fbe915fe2b2b60d5ebe6694d1bf3995294daac2c6e,downloaded
20250723,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250723/E-COINBASE/IDDI_58a6bb76__BTC_USD.csv.gz,28872167,True,e5ef94237bd9dfb3864a2d9ba77e75f0fbda05058568ad42a76167bbf1ef3d07,downloaded
20250724,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250724/E-COINBASE/IDDI_7254de3e__BTC_USD.csv.gz,30037426,True,79ad97d782ddd0433c70467ae7b3b8da6f21ab38aa68a3f2b81c085ca0ff04b4,downloaded
20250725,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250725/E-COINBASE/IDDI_1bfa6bd1__BTC_USD.csv.gz,58962149,True,48d3488cc484bd1314f69ee6839e81fa0abc812ef46bcb4d8c3b251780cf717b,downloaded
20250726,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250726/E-COINBASE/IDDI_9a8400e2__BTC_USD.csv.gz,27302863,True,e2bafc4dab8de9f761826916cb8f587b2ee4e62afbed7bf005f0bf340c4cc895,downloaded
20250727,COINBASE,BTC-USD,/Users/ygorfrancisco/Desktop/acd-monitor/data_v7/raw/coinapi_jul_w5/20250727/E-COINBASE/IDDI_55b643ff__BTC_USD.csv.gz,20705702,True,6fdd3e2864b527fbdf6982763a6eed2b1928b95052620c841e6562f8da173054,downloaded
