date,venue,filename,url,http_status,content_length,sha256,status,error
20250922,BINANCE,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=30)"
20250922,COINBASE,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=30)"
20250922,BYBITSPOT,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=30)"
20250922,BITGET,BITGET_20250922_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250922/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,24149919,d217caaba0d058e2a7d6ee2846fa86b6d00e320a782a9a50a7d2dc337bba447e,SUCCESS,
20250923,BINANCE,BINANCE_20250923_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250923/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,130179220,33d608e657cf441f7f3415d0a0d8ae300d0569222dce2b598c71ca81c90d15f8,SUCCESS,
20250923,COINBASE,COINBASE_20250923_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250923/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,27653705,ad96cfbcb68474f29301090f01de88abd2194790667a684b30d75b8f100980bd,SUCCESS,
20250923,BYBITSPOT,BYBITSPOT_20250923_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250923/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,30191701,a52ff143f08c11a5629e94b9a674e0d21bc7f8e2e96f212d6e324582ea3a2617,SUCCESS,
20250923,BITGET,BITGET_20250923_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250923/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,15873032,f9b5e119d0913f8e4ed5c782484211761e1c3c88f74f43fd5eb79c27fb627dd5,SUCCESS,
20250924,BINANCE,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=30)"
20250924,COINBASE,COINBASE_20250924_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250924/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,36173826,65862d755ae16bc9349733e7f58515300a292d896a20a8dc0428be287da74340,SUCCESS,
20250924,BYBITSPOT,BYBITSPOT_20250924_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250924/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,23919280,83d1a3e6cd350fe1c7321cd4f697007e23bd1174a0eff7bdf40907c283310eb4,SUCCESS,
20250924,BITGET,BITGET_20250924_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250924/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,14926326,e8abf9b27d0111e37f22935d8e9e379dafc340c472add1638ae494a671ec9edf,SUCCESS,
20250925,BINANCE,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=30)"
20250925,COINBASE,N/A,N/A,500,0,N/A,LIST_ERROR_500,
20250925,BYBITSPOT,BYBITSPOT_20250925_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250925/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,38029400,ab65744dc46e654d1864174d004bdf7ee04b25813015e5a56e2588d741f225f8,SUCCESS,
20250925,BITGET,BITGET_20250925_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250925/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,13304669,93412999bc03adebcd1cea8f8638c976fc81e67588bc31d9520a7bb709d6433b,SUCCESS,
20250926,BINANCE,BINANCE_20250926_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250926/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,210608322,a57af0ca26109a1f0e97c86022d4f28a5da6143dc550d7480ff932b6b2d34d10,SUCCESS,
20250926,COINBASE,COINBASE_20250926_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250926/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,43057789,e78aaf4f47309c17869d246d100d6d672b30efe0206d7895636cb97bbb308cf9,SUCCESS,
20250926,BYBITSPOT,BYBITSPOT_20250926_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250926/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,28952018,7e41fe13e42ad3ecea1b80fe51d355c6cd753528c32da2d8bd611a5c47e12bb0,SUCCESS,
20250926,BITGET,BITGET_20250926_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250926/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,9374436,f8b47a75bc9aaf294b5024a3ae07dfe3407d43526f295a6734c28b79ab59d7ac,SUCCESS,
20250927,BINANCE,BINANCE_20250927_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250927/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,123692125,a01e1c69ab68fd749bdf81e4c738294823a36f79f9095d7063e02842c25a5f2a,SUCCESS,
20250927,COINBASE,COINBASE_20250927_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250927/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,20994523,69db8fdf620619d34dd983d63131cab4f17ffdaa1e427938b7d5f38a86d42d42,SUCCESS,
20250927,BYBITSPOT,BYBITSPOT_20250927_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250927/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,9571057,14b473a31e6daf41ce8d12030c5cbbf9962f6b3494c76e718d17cb5be99191f9,SUCCESS,
20250927,BITGET,BITGET_20250927_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250927/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,4851370,9a266e8937fd3b2ec0e8932fc03c67c2e16f7099730c2b814c1e2b6cbf7a9d89,SUCCESS,
20250928,BINANCE,N/A,N/A,0,0,N/A,EXCEPTION,"HTTPSConnectionPool(host='s3.flatfiles.coinapi.io', port=443): Read timed out. (read timeout=10)"
20250928,COINBASE,COINBASE_20250928_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250928/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,24357302,451573add68a45cd9abc5f5cc9be97fabff5776f7d7022faad7d4d0446286d4f,SUCCESS,
20250928,BYBITSPOT,BYBITSPOT_20250928_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250928/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,15938180,9c1ec4a76f08eba5e3a12810846800f22d66eb94aca99cfffb0aa0f91fc6a140,SUCCESS,
20250928,BITGET,BITGET_20250928_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250928/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,7336598,3fa513320f97783d914a8ed4ff192693bf2059dcd353ddf7129277f2730e798d,SUCCESS,
20250929,BINANCE,N/A,N/A,500,0,N/A,LIST_ERROR_500,
20250929,COINBASE,COINBASE_20250929_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250929/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,36339257,ce29c6610ca801d6506ec495e847af4e9f854a46a1fcc7109fc48a292f159f5c,SUCCESS,
20250929,BYBITSPOT,BYBITSPOT_20250929_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250929/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,27437973,99d26d6751c7e9fbca443e35d5d742e90ec264fd7032f93e354c27102363a61a,SUCCESS,
20250929,BITGET,BITGET_20250929_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250929/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,10592025,efd832ddeed3532b8936520eae0bc39b213abccdb514699313e6e0e6b4778a36,SUCCESS,
20250930,BINANCE,BINANCE_20250930_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250930/E-BINANCE/IDDI-20233713+SC-BINANCE_SPOT_BTC_FDUSD+S-BTCFDUSD.csv.gz,200,162498925,cf9c279672a87116fbe7807aa057594ebbe22b7efe8edb30378b8a8717b5ab5a,SUCCESS,
20250930,COINBASE,N/A,N/A,500,0,N/A,LIST_ERROR_500,
20250930,BYBITSPOT,N/A,N/A,500,0,N/A,LIST_ERROR_500,
20250930,BITGET,BITGET_20250930_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20250930/E-BITGET/IDDI-6891536+SC-BITGET_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,15970187,64eb552eeb1ef44492651331694b322fde7e9f4e3bd37fbc2c43d6f086551410,SUCCESS,
20251001,BINANCE,BINANCE_20251001_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20251001/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,169173632,94c9e6689ed18ec451cae85933cd7dd57fb37357dbea0ba9ba403f8b0c987bb3,SUCCESS,
20251001,COINBASE,COINBASE_20251001_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20251001/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,50675730,3ccec5210eb438b134fbf9610a8d282cc668d744332db84dd101915213da0bd3,SUCCESS,
20251001,BYBITSPOT,BYBITSPOT_20251001_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20251001/E-BYBITSPOT/IDDI-6072814+SC-BYBITSPOT_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,31901621,565d417733372739e3dea6715a46e63722ecb481fe63bd5a9fda455b2cec2868,SUCCESS,
20251001,BITGET,N/A,N/A,500,0,N/A,LIST_ERROR_500,
20251002,BINANCE,BINANCE_20251002_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20251002/E-BINANCE/IDDI-138123+SC-BINANCE_SPOT_BTC_USDT+S-BTCUSDT.csv.gz,200,171216963,0ab9bb1128916970ef59014795eafc54b328b7167fc8a14cb38da360a377dbb8,SUCCESS,
20251002,COINBASE,COINBASE_20251002_BTCUSDT.csv.gz,https://s3.flatfiles.coinapi.io/coinapi/T-TRADES/D-20251002/E-COINBASE/IDDI-27576+SC-COINBASE_SPOT_BTC_USD+S-BTC__002DUSD.csv.gz,200,51988708,1b4e2da1b6e786f6baa56d820469741585443659eaf13b04c87872b04f1ee161,SUCCESS,
20251002,BYBITSPOT,N/A,N/A,500,0,N/A,LIST_ERROR_500,
